workerid,proliferate.condition,participant_id,error
1080,control,P1780165889082_7354,
1311,control,P1780278083054_2068,
893,control,P1780164554042_4489,
960,control,P1780164688012_6172,
1038,control,P1780165058120_7859,
1019,control,P1780164898001_8965,
1078,control,P1780165776187_3139,
964,control,P1780164691210_3906,
862,control,P1780164519973_9448,
1062,control,P1780165373865_7125,
1065,control,P1780165412925_3783,
977,control,P1780164732763_8163,
1084,control,P1780166091278_3746,
958,control,P1780164686575_5894,
872,control,P1780164526178_8846,
1027,control,P1780164954896_505,
1025,control,P1780164939974_4271,
928,control,P1780164648413_3380,
1042,control,P1780165084608_7305,
858,control,P1780164512104_3293,
1001,control,P1780164800737_4870,
868,control,P1780164520750_6110,
886,control,P1780164470149_3821,
914,control,P1780164657319_5618,
851,control,P1780164500403_9678,
926,control,P1780164642038_5588,
991,control,P1780164777227_409,
899,control,P1780164581643_6965,
897,control,P1780164577406_1960,
950,control,P1780164679667_3665,
910,control,P1780164622009_6124,
924,control,P1780164639616_960,
983,control,P1780164756155_4320,
903,control,P1780164597569_1139,
946,control,P1780164673476_645,
1152,control,P1780166204947_6131,
979,control,P1780164747437_9711,
1067,control,P1780165434534_6900,
999,control,P1780164827259_8963,
989,control,P1780164765575_4091,
954,control,P1780164682786_722,
1077,control,P1780165656965_9538,
933,control,P1780164652177_432,
891,control,P1780164546198_6169,
1007,control,P1780164810312_6581,
895,control,P1780164568154_1577,
970,control,P1780164725840_7449,
940,control,P1780164664665_2686,
1005,control,P1780164808141_39,
966,control,P1780164699419_8879,
860,control,P1780164512131_9642,
956,control,P1780164685440_9442,
972,control,P1780164718922_1206,
1021,control,P1780164916801_281,
1030,control,P1780164982510_6163,
916,control,P1780164631168_6119,
1282,control,P1780167275443_4524,
985,control,P1780164760741_7716,
882,control,P1780164533905_618,
930,control,P1780164649350_6835,
993,control,P1780164780974_5756,
1051,control,P1780165167594_1343,
884,control,P1780164536196_6093,
948,control,P1780164674744_5699,
997,control,P1780164796173_5679,
942,control,P1780164667832_1223,
874,control,P1780164527956_5374,
1040,control,P1780165067476_5451,
907,control,P1780164610145_5823,
912,control,P1780164626306_6260,
936,control,P1780164656620_2642,
1054,control,P1780165290739_2969,
901,control,P1780164595098_3313,
1016,control,P1780164882308_5641,
880,control,P1780164533147_3425,
1003,control,P1780164805313_8317,
975,control,P1780164724701_3900,
968,control,P1780164707728_4483,
944,control,P1780164670423_3659,
995,control,P1780164788749_5005,
878,control,P1780164528928_4150,
1073,control,P1780165548362_1052,
1032,control,P1780164983935_3584,
962,control,P1780164688771_5343,
1034,control,P1780165009615_2714,
932,control,P1780164652229_6564,
855,control,P1780164507059_3732,
1058,control,P1780165311840_7657,
952,control,P1780164681098_6506,
1009,control,P1780164819897_2684,
1014,control,P1780164862043_1174,
866,control,P1780164516678_1505,
864,control,P1780164518403_1131,
981,control,P1780164752800_5546,
1046,control,P1780165122248_7593,
870,control,P1780164522969_2701,
938,control,P1780164659413_4803,
1011,control,P1780164858815_2261,
876,control,P1780164528859_4497,
905,control,P1780164606655_2981,
888,control,P1780164541833_7862,
961,experimental,P1780164807538_8789,
927,experimental,P1780164645270_7719,
1000,experimental,P1780164797904_1975,
1022,experimental,P1780164924989_838,
976,experimental,P1780164725827_6978,
873,experimental,P1780164527082_5217,
911,experimental,P1780164625066_7402,
902,experimental,P1780164598336_6462,
1041,experimental,P1780165076048_1948,
1043,experimental,P1780165091035_573,
917,experimental,P1780164631176_8934,
1020,experimental,P1780164903666_1220,
896,experimental,P1780164571901_9673,
863,experimental,P1780164475664_5485,
1312,experimental,P1780537233660_5463,
904,experimental,P1780164602909_6130,
998,experimental,P1780164796801_6543,
1068,experimental,P1780165450194_4033,
854,experimental,P1780164503596_3441,
921,experimental,P1780164633585_1851,
992,experimental,P1780164779747_9909,
923,experimental,P1780164639236_5425,
947,experimental,P1780164672273_4542,
978,experimental,P1780164747363_1911,
943,experimental,P1780164671105_5290,
1055,experimental,P1780165293226_3700,
994,experimental,P1780164801059_874,
906,experimental,P1780164604928_8095,
1002,experimental,P1780164801663_7592,
1280,experimental,P1780167118615_4273,
1036,experimental,P1780165040252_1452,
996,experimental,P1780164796619_2582,
965,experimental,P1780164697311_7018,
852,experimental,P1780164502305_609,
1012,experimental,P1780164859575_7324,
1008,experimental,P1780164814981_1869,
883,experimental,P1780164535280_7756,
856,experimental,P1780164511206_4047,
951,experimental,P1780164688543_9913,
898,experimental,P1780164579871_4480,
877,experimental,P1780164531102_7389,
1024,experimental,P1780164937992_4617,
959,experimental,P1780164696720_6109,
1004,experimental,P1780164805422_7564,
913,experimental,P1780164626810_2646,
937,experimental,P1780164674218_4507,
1310,experimental,P1780277565743_4780,
1079,experimental,P1780165806181_8904,
967,experimental,P1780164702473_886,
957,experimental,P1780164687456_6387,
945,experimental,P1780164646306_8571,
934,experimental,P1780164649818_4622,
1074,experimental,P1780165548347_5151,
894,experimental,P1780164556807_3846,
1050,experimental,P1780165169975_4105,
1033,experimental,P1780165003616_2583,
1059,experimental,P1780165322617_6242,
1066,experimental,P1780165433570_9066,
953,experimental,P1780164681918_9542,
1061,experimental,P1780165340792_1789,
1064,experimental,P1780165406321_814,
908,experimental,P1780166336419_8411,
869,experimental,P1780164522740_1841,
861,experimental,P1780164514169_9534,
881,experimental,P1780164538489_8705,
1226,experimental,P1780166420156_5737,
1081,experimental,P1780166031923_9823,
955,experimental,P1780164680917_3113,
935,experimental,P1780164654832_2980,
849,experimental,P1780164497173_9960,
1015,experimental,P1780164874648_6720,
879,experimental,P1780164534215_1465,
859,experimental,P1780164510938_8696,
885,experimental,P1780164537061_1508,
929,experimental,P1780164766944_1075,
1010,experimental,P1780164832681_6534,
1031,experimental,P1780164982817_3777,
1053,experimental,P1780165258875_230,
1006,experimental,P1780164810916_1764,
941,experimental,P1780164664927_7627,
900,experimental,P1780164588677_8921,
1018,experimental,P1780164895838_9508,
925,experimental,P1780164641905_5210,
949,experimental,P1780164677591_296,
987,experimental,P1780164761795_7119,
980,experimental,P1780164750267_8141,
939,experimental,P1780164659765_6438,
1029,experimental,P1780164964625_6634,
892,experimental,P1780164551239_2871,
982,experimental,P1780164657797_3936,
990,experimental,P1780164770129_6665,
1048,experimental,P1780165131688_2068,
1039,experimental,P1780165063010_7021,
889,experimental,P1780164542901_7848,
875,experimental,P1780164527928_7465,
887,experimental,P1780164540421_5788,
963,experimental,P1780164697965_4255,
984,experimental,P1780164757541_590,
865,experimental,P1780164520029_7811,
1026,experimental,P1780164941920_9957,
871,experimental,P1780164524226_1884,
973,experimental,P1780164720583_1573,
