workerid,proliferate.condition,condition,error
1080,control,control,
1311,control,control,
893,control,control,
960,control,control,
1038,control,control,
1019,control,control,
1078,control,control,
964,control,control,
862,control,control,
1062,control,control,
1065,control,control,
977,control,control,
1084,control,control,
958,control,control,
872,control,control,
1027,control,control,
1025,control,control,
928,control,control,
1042,control,control,
858,control,control,
1001,control,control,
868,control,control,
886,control,control,
914,control,control,
851,control,control,
926,control,control,
991,control,control,
899,control,control,
897,control,control,
950,control,control,
910,control,control,
924,control,control,
983,control,control,
903,control,control,
946,control,control,
1152,control,control,
979,control,control,
1067,control,control,
999,control,control,
989,control,control,
954,control,control,
1077,control,control,
933,control,control,
891,control,control,
1007,control,control,
895,control,control,
970,control,control,
940,control,control,
1005,control,control,
966,control,control,
860,control,control,
956,control,control,
972,control,control,
1021,control,control,
1030,control,control,
916,control,control,
1282,control,control,
985,control,control,
882,control,control,
930,control,control,
993,control,control,
1051,control,control,
884,control,control,
948,control,control,
997,control,control,
942,control,control,
874,control,control,
1040,control,control,
907,control,control,
912,control,control,
936,control,control,
1054,control,control,
901,control,control,
1016,control,control,
880,control,control,
1003,control,control,
975,control,control,
968,control,control,
944,control,control,
995,control,control,
878,control,control,
1073,control,control,
1032,control,control,
962,control,control,
1034,control,control,
932,control,control,
855,control,control,
1058,control,control,
952,control,control,
1009,control,control,
1014,control,control,
866,control,control,
864,control,control,
981,control,control,
1046,control,control,
870,control,control,
938,control,control,
1011,control,control,
876,control,control,
905,control,control,
888,control,control,
961,experimental,experimental,
927,experimental,experimental,
1000,experimental,experimental,
1022,experimental,experimental,
976,experimental,experimental,
873,experimental,experimental,
911,experimental,experimental,
902,experimental,experimental,
1041,experimental,experimental,
1043,experimental,experimental,
917,experimental,experimental,
1020,experimental,experimental,
896,experimental,experimental,
863,experimental,experimental,
1312,experimental,experimental,
904,experimental,experimental,
998,experimental,experimental,
1068,experimental,experimental,
854,experimental,experimental,
921,experimental,experimental,
992,experimental,experimental,
923,experimental,experimental,
947,experimental,experimental,
978,experimental,experimental,
943,experimental,experimental,
1055,experimental,experimental,
994,experimental,experimental,
906,experimental,experimental,
1002,experimental,experimental,
1280,experimental,experimental,
1036,experimental,experimental,
996,experimental,experimental,
965,experimental,experimental,
852,experimental,experimental,
1012,experimental,experimental,
1008,experimental,experimental,
883,experimental,experimental,
856,experimental,experimental,
951,experimental,experimental,
898,experimental,experimental,
877,experimental,experimental,
1024,experimental,experimental,
959,experimental,experimental,
1004,experimental,experimental,
913,experimental,experimental,
937,experimental,experimental,
1310,experimental,experimental,
1079,experimental,experimental,
967,experimental,experimental,
957,experimental,experimental,
945,experimental,experimental,
934,experimental,experimental,
1074,experimental,experimental,
894,experimental,experimental,
1050,experimental,experimental,
1033,experimental,experimental,
1059,experimental,experimental,
1066,experimental,experimental,
953,experimental,experimental,
1061,experimental,experimental,
1064,experimental,experimental,
908,experimental,experimental,
869,experimental,experimental,
861,experimental,experimental,
881,experimental,experimental,
1226,experimental,experimental,
1081,experimental,experimental,
955,experimental,experimental,
935,experimental,experimental,
849,experimental,experimental,
1015,experimental,experimental,
879,experimental,experimental,
859,experimental,experimental,
885,experimental,experimental,
929,experimental,experimental,
1010,experimental,experimental,
1031,experimental,experimental,
1053,experimental,experimental,
1006,experimental,experimental,
941,experimental,experimental,
900,experimental,experimental,
1018,experimental,experimental,
925,experimental,experimental,
949,experimental,experimental,
987,experimental,experimental,
980,experimental,experimental,
939,experimental,experimental,
1029,experimental,experimental,
892,experimental,experimental,
982,experimental,experimental,
990,experimental,experimental,
1048,experimental,experimental,
1039,experimental,experimental,
889,experimental,experimental,
875,experimental,experimental,
887,experimental,experimental,
963,experimental,experimental,
984,experimental,experimental,
865,experimental,experimental,
1026,experimental,experimental,
871,experimental,experimental,
973,experimental,experimental,
