workerid,proliferate.condition,scenario_order,error
1080,control,drum,
1080,control,balloon,
1311,control,drum,
1311,control,balloon,
893,control,drum,
893,control,balloon,
960,control,drum,
960,control,balloon,
1038,control,drum,
1038,control,balloon,
1019,control,balloon,
1019,control,drum,
1078,control,balloon,
1078,control,drum,
964,control,balloon,
964,control,drum,
862,control,balloon,
862,control,drum,
1062,control,balloon,
1062,control,drum,
1065,control,balloon,
1065,control,drum,
977,control,drum,
977,control,balloon,
1084,control,balloon,
1084,control,drum,
958,control,drum,
958,control,balloon,
872,control,balloon,
872,control,drum,
1027,control,balloon,
1027,control,drum,
1025,control,balloon,
1025,control,drum,
928,control,balloon,
928,control,drum,
1042,control,balloon,
1042,control,drum,
858,control,drum,
858,control,balloon,
1001,control,drum,
1001,control,balloon,
868,control,drum,
868,control,balloon,
886,control,drum,
886,control,balloon,
914,control,drum,
914,control,balloon,
851,control,drum,
851,control,balloon,
926,control,balloon,
926,control,drum,
991,control,balloon,
991,control,drum,
899,control,balloon,
899,control,drum,
897,control,balloon,
897,control,drum,
950,control,drum,
950,control,balloon,
910,control,drum,
910,control,balloon,
924,control,drum,
924,control,balloon,
983,control,drum,
983,control,balloon,
903,control,balloon,
903,control,drum,
946,control,balloon,
946,control,drum,
1152,control,balloon,
1152,control,drum,
979,control,balloon,
979,control,drum,
1067,control,drum,
1067,control,balloon,
999,control,balloon,
999,control,drum,
989,control,balloon,
989,control,drum,
954,control,balloon,
954,control,drum,
1077,control,balloon,
1077,control,drum,
933,control,balloon,
933,control,drum,
891,control,drum,
891,control,balloon,
1007,control,drum,
1007,control,balloon,
895,control,drum,
895,control,balloon,
970,control,balloon,
970,control,drum,
940,control,drum,
940,control,balloon,
1005,control,drum,
1005,control,balloon,
966,control,drum,
966,control,balloon,
860,control,drum,
860,control,balloon,
956,control,balloon,
956,control,drum,
972,control,drum,
972,control,balloon,
1021,control,drum,
1021,control,balloon,
1030,control,balloon,
1030,control,drum,
916,control,drum,
916,control,balloon,
1282,control,balloon,
1282,control,drum,
985,control,balloon,
985,control,drum,
882,control,drum,
882,control,balloon,
930,control,drum,
930,control,balloon,
993,control,balloon,
993,control,drum,
1051,control,drum,
1051,control,balloon,
884,control,balloon,
884,control,drum,
948,control,balloon,
948,control,drum,
997,control,drum,
997,control,balloon,
942,control,drum,
942,control,balloon,
874,control,drum,
874,control,balloon,
1040,control,balloon,
1040,control,drum,
907,control,drum,
907,control,balloon,
912,control,balloon,
912,control,drum,
936,control,balloon,
936,control,drum,
1054,control,drum,
1054,control,balloon,
901,control,drum,
901,control,balloon,
1016,control,balloon,
1016,control,drum,
880,control,balloon,
880,control,drum,
1003,control,balloon,
1003,control,drum,
975,control,drum,
975,control,balloon,
968,control,balloon,
968,control,drum,
944,control,balloon,
944,control,drum,
995,control,drum,
995,control,balloon,
878,control,balloon,
878,control,drum,
1073,control,drum,
1073,control,balloon,
1032,control,drum,
1032,control,balloon,
962,control,drum,
962,control,balloon,
1034,control,drum,
1034,control,balloon,
932,control,balloon,
932,control,drum,
855,control,balloon,
855,control,drum,
1058,control,drum,
1058,control,balloon,
952,control,drum,
952,control,balloon,
