workerid,proliferate.condition,age,ethnicity,gender,race,error
846,all,19,Non-Hispanic,Male,Black/African American,
796,all,36,Hispanic,Male,White,
792,all,32,,Male,Black/African American,
797,all,26,Non-Hispanic,Female,White,
773,all,21,Hispanic,Female,other_race,
805,all,56,Non-Hispanic,Female,White,
838,all,27,Non-Hispanic,Female,White,
845,all,50,Non-Hispanic,Female,other_race,
811,all,63,Non-Hispanic,Female,Black/African American,
1035,all,47,Non-Hispanic,Female,Black/African American,
826,all,46,Non-Hispanic,Male,White,
1060,all,27,Hispanic,Female,Black/African American,
818,all,21,Non-Hispanic,Male,White,
831,all,50,Non-Hispanic,Female,Black/African American,
815,all,27,Hispanic,Male,White,
839,all,54,Non-Hispanic,Male,White,
813,all,55,Non-Hispanic,Female,White,
1262,all,39,Hispanic,Male,Black/African American,
795,all,28,Non-Hispanic,Male,Black/African American,
837,all,66,Non-Hispanic,Female,White,
1189,all,66,Non-Hispanic,Female,White,
806,all,30,Hispanic,Female,White,
986,all,34,Hispanic,Female,White,
843,all,49,Non-Hispanic,Female,White,
824,all,20,Non-Hispanic,Female,Black/African American,
833,all,66,Non-Hispanic,Female,White,
1071,all,35,Non-Hispanic,Female,White,
1057,all,32,Non-Hispanic,Male,White,
801,all,40,Non-Hispanic,Male,Black/African American,
819,all,26,Non-Hispanic,Female,White,
785,all,47,Non-Hispanic,Male,White,
842,all,30,Non-Hispanic,Female,Black/African American,
1044,all,38,Non-Hispanic,Male,Asian,
836,all,25,Non-Hispanic,Male,White,
821,all,35,Non-Hispanic,Female,White,
794,all,41,Non-Hispanic,Female,White,
783,all,44,Non-Hispanic,Female,Black/African American,
1313,all,46,Hispanic,Male,White,
1052,all,29,Non-Hispanic,Female,American Indian/Alaska Native,
777,all,53,Non-Hispanic,Female,White,
844,all,28,Non-Hispanic,Male,White,
784,all,32,Non-Hispanic,Female,other_race,
988,all,50,Non-Hispanic,Male,White,
834,all,54,Non-Hispanic,Female,,
1220,all,24,Non-Hispanic,Female,White,
816,all,71,Non-Hispanic,Female,White,
825,all,69,Non-Hispanic,Female,White,
778,all,26,Non-Hispanic,Female,White,
832,all,34,Non-Hispanic,Male,White,
847,all,49,Non-Hispanic,Male,Black/African American,
812,all,36,Non-Hispanic,Male,White,
798,all,68,Non-Hispanic,Female,White,
809,all,39,Hispanic,Female,White,
802,all,55,Hispanic,Male,White,
790,all,20,Non-Hispanic,Male,White,
1070,all,50,Hispanic,Male,other_race,
1037,all,39,Non-Hispanic,Male,White,
810,all,31,Non-Hispanic,Male,Asian,
840,all,40,Non-Hispanic,Male,White,
918,all,45,Non-Hispanic,Male,White,
814,all,21,Non-Hispanic,Non-binary,White,
776,all,50,Non-Hispanic,Female,White,
1056,all,36,Non-Hispanic,Female,White,
808,all,38,Non-Hispanic,Female,White,
1045,all,24,Non-Hispanic,Male,White,
1017,all,44,Non-Hispanic,Male,White,
800,all,73,,Female,White,
835,all,42,Non-Hispanic,Female,White,
788,all,39,Non-Hispanic,Male,White,
1028,all,21,Non-Hispanic,Male,White,
823,all,41,Non-Hispanic,Female,White,
827,all,34,Non-Hispanic,Male,Black/African American,
807,all,24,Hispanic,Male,other_race,
1075,all,58,Non-Hispanic,Female,White,
1194,all,34,Non-Hispanic,Male,Asian,
857,all,35,Non-Hispanic,Female,White,
1069,all,43,Non-Hispanic,Male,White,
781,all,27,Non-Hispanic,Female,Black/African American,
919,all,28,Non-Hispanic,Non-binary,White,
1047,all,32,Non-Hispanic,Female,White,
779,all,32,Non-Hispanic,Male,White,
850,all,46,Non-Hispanic,Male,Black/African American,
786,all,42,Hispanic,Female,other_race,
1076,all,46,,Male,Black/African American,
791,all,27,Non-Hispanic,Male,White,
774,all,51,Non-Hispanic,Male,White,
789,all,42,Non-Hispanic,Male,White,
803,all,36,,Male,Black/African American,
1202,all,25,Non-Hispanic,Female,Black/African American,
780,all,59,Non-Hispanic,Female,other_race,
829,all,46,Non-Hispanic,Female,other_race,
1013,all,36,Non-Hispanic,Female,Asian,
782,all,35,Non-Hispanic,Female,Asian,
909,all,20,Non-Hispanic,Male,White,
828,all,43,Non-Hispanic,Female,Black/African American,
775,all,36,Non-Hispanic,Female,White,
841,all,63,Non-Hispanic,Female,White,
822,all,34,,Male,White,
804,all,54,Non-Hispanic,,Asian,
787,all,38,Non-Hispanic,Female,White,
817,all,21,,Male,Black/African American,
1072,all,23,Non-Hispanic,Male,White,
